altitude,site,plot,mountain,label,species,individual,eye,head,leg,scape
1331,PD4,C,main,PD4COxyopomyrmex_saulcyi1Eye,Oxyopomyrmex_saulcyi,1,0.161,0.781,0.689,0.658
1331,PD4,C,main,PD4COxyopomyrmex_saulcyi2Eye,Oxyopomyrmex_saulcyi,2,0.121,0.74,0.622,0.589
1331,PD4,C,main,PD4COxyopomyrmex_saulcyi3Eye,Oxyopomyrmex_saulcyi,3,0.136,0.828,0.652,0.642
1331,PD4,C,main,PD4CSolenopsis_sp1Eye,Solenopsis_sp,1,0.023,0.366,0.309,0.292
1331,PD4,C,main,PD4CStrongylognathus_testaceus1Eye,Strongylognathus_testaceus,1,0.185,0.732,0.517,0.440
1331,PD4,C,main,PD4CStrongylognathus_testaceus2Eye,Strongylognathus_testaceus,2,0.186,0.8,0.497,0.401
1331,PD4,C,main,PD4CStrongylognathus_testaceus3Eye,Strongylognathus_testaceus,3,0.167,0.787,0.528,0.303
1331,PD4,C,main,PD4CTapinoma_madeirense1Eye,Tapinoma_madeirense,1,0.155,0.61,0.703,0.743
1331,PD4,C,main,PD4CTapinoma_madeirense2Eye,Tapinoma_madeirense,2,0.166,0.603,0.626,0.722
1331,PD4,C,main,PD4CTapinoma_madeirense3Eye,Tapinoma_madeirense,3,0.154,0.668,0.616,0.724
1331,PD4,C,main,PD4CTetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.114,0.611,0.453,0.450
1331,PD4,C,main,PD4CTetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.113,0.689,0.476,0.507
1331,PD4,C,main,PD4CTetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.095,0.765,0.558,0.518
1786,PD6,A,main,PD6AFormica_cunicularia1Eye,Formica_cunicularia,1,0.28,1.282,1.732,1.273
1786,PD6,A,main,PD6AFormica_cunicularia2Eye,Formica_cunicularia,2,0.31,1.09,1.548,1.212
1786,PD6,A,main,PD6AFormica_cunicularia3Eye,Formica_cunicularia,3,0.35,1.28,1.68,1.120
1786,PD6,A,main,PD6ALasius_piliferus1Eye,Lasius_piliferus,1,0.124,0.807,0.737,0.700
1786,PD6,A,main,PD6ALasius_piliferus2Eye,Lasius_piliferus,2,0.138,0.987,0.92,0.859
1786,PD6,A,main,PD6ALasius_piliferus3Eye,Lasius_piliferus,3,0.127,0.809,0.791,0.743
1786,PD6,A,main,PD6ATetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.123,0.747,0.55,0.533
1786,PD6,A,main,PD6ATetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.098,0.719,0.524,0.501
1786,PD6,A,main,PD6ATetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.094,0.805,0.547,0.504
1786,PD6,B,main,PD6BFormica_cunicularia1Eye,Formica_cunicularia,1,0.252,0.985,1.428,1.211
1786,PD6,B,main,PD6BFormica_cunicularia2Eye,Formica_cunicularia,2,0.258,0.917,1.281,1.120
1786,PD6,B,main,PD6BFormica_cunicularia3Eye,Formica_cunicularia,3,0.3,1.139,1.624,1.337
1786,PD6,B,main,PD6BLasius_piliferus1Eye,Lasius_piliferus,1,0.151,0.704,0.767,0.747
1786,PD6,B,main,PD6BLasius_piliferus2Eye,Lasius_piliferus,2,0.142,0.751,0.745,0.631
1786,PD6,B,main,PD6BLasius_piliferus3Eye,Lasius_piliferus,3,0.134,0.791,0.75,0.675
1786,PD6,B,main,PD6BTetramorium_caespitum1Eye,Tetramorium_caespitum,1,0.104,0.714,0.48,0.538
1786,PD6,B,main,PD6BTetramorium_caespitum2Eye,Tetramorium_caespitum,2,0.084,0.674,0.478,0.509
1786,PD6,B,main,PD6BTetramorium_caespitum3Eye,Tetramorium_caespitum,3,0.088,0.662,0.445,0.433
